restuarant_name,restuarant_url,contact_number,address,review_count,categories,pricing,rating
Opium,https://www.yelp.com/biz/opium-kuala-lumpur,03-2142 5670,"50, Changkat Bukit Bintang",26,Asian Fusion,$$,4.5 star rating
Songket Restaurant,https://www.yelp.com/biz/songket-restaurant-kuala-lumpur,016-922 7608,"29, Jalan Yap Kwan Seng",4,Venues & Event Spaces,,5 star rating
"Ali, Muthu & Ah Hock",https://www.yelp.com/biz/ali-muthu-and-ah-hock-kuala-lumpur,03-2022 3588,"13, Jalan Balai Polis",15,Malaysian,$,4 star rating
Restoran Yut Kee,https://www.yelp.com/biz/kedai-makanan-yut-kee-kuala-lumpur,03-2698 8108,"1, Jalan Kamunting",20,Hainan,$,4 star rating
Cantaloupe,https://www.yelp.com/biz/cantaloupe-kuala-lumpur,Located in The Troika,Located in The Troika,8,Diners,$$$$,5 star rating
Restoran Kin Kin,https://www.yelp.com/biz/restoran-kin-kin-kuala-lumpur,016-372 8069,"40, Jalan Dewan Sultan Sulaiman",25,Chinese,$,4.5 star rating
Hong Kee Claypot Chicken Rice,https://www.yelp.com/biz/hong-kee-claypot-chicken-rice-kuala-lumpur,,89A Jalan Sultan,5,Malaysian,,4.5 star rating
Nasi Lemak Antarabangsa,https://www.yelp.com/biz/nasi-lemak-antarabangsa-kuala-lumpur,010-881 8080,4 Jalan Raja Muda Musa,3,Malaysian,$,4.5 star rating
Alor Food Corner,https://www.yelp.com/biz/alor-food-corner-kuala-lumpur,012-670 5512,"79, Jalan Alor",4,Halal,$,4.5 star rating
Bijan,https://www.yelp.com/biz/bijan-kuala-lumpur,03-2031 3575,3 Jalan Ceylon,22,Malaysian,$$$,4 star rating
Favola,https://www.yelp.com/biz/favola-kuala-lumpur,Located in Le Méridien Kuala Lumpur,Located in Le Méridien Kuala Lumpur,7,Italian,$$$,5 star rating
Sek Yuen Restaurant,https://www.yelp.com/biz/sek-yuen-restaurant-kuala-lumpur,03-9222 0903,"315, Jalan Pudu",11,Chinese,$$,4.5 star rating
