,user_name,restaurant_name,comment
0,Alysa B.,Opium,"My boyfriend and I came in one afternoon expecting basic cocktails, what we received was an amazing, personalized drinking experience with Laine. We were the only ones sitting at the bar which may be why we were able to receive the attention we got but it was easily the best service and experience I've had at a bar.

I started with the Red Moon which was sooooo delicious and refreshing with vodka and watermelon; while my boyfriend had a gin martini. After our first round, we asked Laine for recommendations. She recommended something to each of us based on our palette. I had the 50 shades of grey cocktail which was delicious and also so much fun to watch being made!

Laine told us so much about herself and the owner of the restaurant who also owns a few other places on the street (all known to be the best in KL). Our experience was sooo amazing and I can't wait to find myself back in KL to come back!"
0,Cyrus A.,Opium,"This restaurant was absolutely fantastic, it's an excellent choice if you're looking for a fancy meal at a relatively affordable price. My friend and I split a noodle dish and two entrees, as well as a fancy cocktail each, all for around $75 total.

The place is a little noisy, and definitely in a touristy/fratty part of town. But once we were seated, we had outstanding service and really enjoyed the experience. Our server was very helpful, and made great suggestions about the various options on the menu.

We started with crispy noodles and fried prawns, which were delicious. The noodles come in a great broth, and the prawns are lightly battered, crispy to perfection.

For our mains, we split a beef dish that we ate on soft buns. It was spicy without being overpowering, and the flavors were unreal. After the buns ran out, I was eating straight from the bowl! We also got a duck dish with rice. The duck was tender and juicy, with a sweet flavor and lots of delicious veggies included in the dish.

I would definitely recommend this place as a dinner destination during even a short stay in Kuala Lumpur!"
0,Louise A.,Opium,"Celebrated my birthday here and so were two more persons cuz they started sing for them. Yeah whatever, I think this place was really good. The environment was hipster and a little retro. There was a girl sitting and playing some kind of piano very beautifly, and the mood was great!
I ate some dumplings with black pepper and prawns, delicious, and my man took some noodles, they were really good too. The drinks had a twist and they were served in special cups, fun! Over all a great place for a birthday dinner, some drinks with your friends or a dejt. But I think the kids should be left home. Not that kind of place..."
0,Bob V.,Opium,"By the reviews I was anticipating a wow & I got excellent service along with mediocre food. I started with the Fighting Cock Wings w/habenero. Soggy & mild flovor,
right out of the microwave.  Rather disappointing, as i was here for an early dinner on a Wednesday evening 6:30pm. Lets see if the main course is any better? Yes the lemon orange chicken was better but I would not return with much better options out there!
Not worth the price."
0,Neil M.,Opium,"Loved everything about Opium! Service, food, music were all great. Food was very unique and special with decent portions.

Highly recommend for the price. I rarely give 5 stars, but this place is hard to beat for $$."
0,Cindy C.,Opium,very nice restaurant and bar. meals were tasty cocktail was super special. we enjoyed it very much. live music was a girl play Chinese pipa. price is a but expensive.about $150 per person. will go back if get chance.
0,Bartholomew B.,Opium,"My first time to KL and asked the hotel concierge for the best local restaurant - they were spot on. This place is amazing and unique. The food was superb, the drinks were the most artistic and delicious I've received to date. The 4 spirits drinks are so cool - I had Earth and Water on 2 different days. I also had a draft beer, which they serve in a bowl - was odd at first but kind of made me feel like a cat. The staff were sweet and quick. I would definitely recommend giving this place a try if you're unsure where to go."
0,Lucie B.,Opium,"Went here for the all you can eat DIM SUM lunch and it was awesome, 28RM for as many plates of dim sum, noodles and other dishes and all was of great quality and taste.

I also just love the decor here, it truly feels like you have stepped into a time warp. They play great lounge music and the furnishings are gorgeous. Definitely still 5 stars in my book."
0,LeEllen L.,Opium,"Amazing food and wonderful service. :) I really enjoyed the pleasant atmosphere, the music and the lighting, it was a delightful and delicious evening."
0,John W.,Opium,"It's ok. Food is good but not great. Cocktails are the same... not the worst but certainly not cocktail bar standards. People there are friendly though! Good service. I wouldn't return since there are clearly way better options around. But if I was forced to go, I would not be too upset."
